"demo_role","demo_gender","demo_age","demo_domain","demo_experience","demo_ai_know","fcf_attendFREQ","fcf_useFREQ","fcf_studyPlace","fcf_aePlace","fcf_techSAT","fcf_rmatSAT","fcf_cleanSAT","fcf_atmpSAT","fcf_techAGT","fcf_amentNOM","fcf_topics"
"Student","Male","18-24","Facility","2 - 5 years","Somewhat good","Most of the time","Sometimes","Classroom","Meeting Rooms","Neither satisfied nor dissatisfied","Somehow satisfied","Extremely satisfied","Extremely satisfied","Strongly agree","Probably yes","Predictive Maintenance,Space Optimization,Security & Privacy"
"Student","Female","18-24","Facility","0 - 6 months","Somewhat good","Always","Sometimes","Classroom","Classroom/Lecture Hall","Extremely satisfied","Somehow satisfied","Extremely satisfied","Extremely satisfied","Agree","Might or might not","Security & Privacy"
"Student","Female","18-24","Facility","0 - 6 months","Somewhat bad","Always","Sometimes","Cafeteria","Meeting Rooms","Somewhat satisfied","Somehow satisfied","Somewhat satisfied","Somewhat satisfied","Neither agree nor disagree","Probably yes","Security & Privacy"
"Student","Female","18-24","Facility","1 - 2 years","Somewhat good","About half the time","Most of the time","Cafeteria","Computer Lab","Somewhat satisfied","Somehow dissatisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Agree","Probably yes","Predictive Maintenance,Space Optimization"
"Student","Female","18-24","Facility","0 - 6 months","Somewhat bad","Always","Sometimes","Other (please specify)","Classroom/Lecture Hall","Extremely satisfied","Extremely satisfied","Somewhat satisfied","Somewhat satisfied","Agree","Might or might not","Predictive Maintenance,Space Optimization,Security & Privacy"
"Student","Female","18-24","Facility","2 - 5 years","Somewhat good","Always","Sometimes","Cafeteria","Meeting Rooms","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Extremely satisfied","Extremely satisfied","Neither agree nor disagree","Probably yes","Space Optimization"
"Student","Male","18-24","Facility","2 - 5 years","Neither good nor bad","About half the time","Sometimes","Library","Computer Lab","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Extremely satisfied","Extremely satisfied","Agree","Might or might not","Space Optimization"
"Student","Female","25-34","Facility","2 - 5 years","Somewhat good","Most of the time","Always","Classroom","Meeting Rooms","Somewhat dissatisfied","Somehow satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Strongly agree","Probably yes","Security & Privacy"
"Student","Female","18-24","Facility","0 - 6 months","Somewhat bad","Always","Never","Classroom","Classroom/Lecture Hall","Somewhat satisfied","Somehow satisfied","Somewhat satisfied","Somewhat satisfied","Agree","Might or might not","Space Optimization"
"Student","Female","18-24","Facility","2 - 5 years","Somewhat good","Most of the time","Most of the time","Library","Meeting Rooms","Somewhat satisfied","Somehow satisfied","Extremely satisfied","Somewhat satisfied","Agree","Might or might not","Space Optimization"
"Student","Female","18-24","Facility","0 - 6 months","Extremely bad","Always","Sometimes","Classroom","Other (please specify)","Somewhat satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Somewhat satisfied","Neither agree nor disagree","Probably yes","Space Optimization"
"Student","Female","18-24","Facility","2 - 5 years","Neither good nor bad","Most of the time","Most of the time","Cafeteria","Meeting Rooms","Somewhat satisfied","Somehow satisfied","Somewhat satisfied","Extremely satisfied","Agree","Probably not","Space Optimization"
"Student","Female","18-24","Facility","2 - 5 years","Somewhat good","Sometimes","Sometimes","Other (please specify)","Meeting Rooms","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Somewhat satisfied","Strongly agree","Probably not","Predictive Maintenance,Space Optimization,Security & Privacy"
"Student","Female","18-24","Facility","2 - 5 years","Extremely bad","Most of the time","Sometimes","Other (please specify)","Other (please specify)","Somewhat satisfied","Somehow satisfied","Extremely satisfied","Somewhat satisfied","Agree","Definitely yes","Space Optimization,Security & Privacy"
"Student","Female","18-24","Facility","2 - 5 years","Neither good nor bad","Always","Sometimes","Other (please specify)","Classroom/Lecture Hall","Somewhat satisfied","Somehow satisfied","Extremely satisfied","Somewhat satisfied","Neither agree nor disagree","Probably yes","Predictive Maintenance,Space Optimization,Security & Privacy"
