video_filename,fragment,predictions,text
C:/Users/Bobo/Downloads/task1\ER22_AFL01_MXF.mov,10,happiness,"We are team green We have won and as the first prize we get camp west the best island of all the islands are quite good start there are some things there I think I think yes yes yes I see where where where where where where exactlyRight before you oh my god look the roof there are getting closer and we see at some point just a hut that is very nicely put together we have a nice roof kind of villa and that turns out to be our sleeping place shelf life look 80 kg isas strong as poop, that is really one thing okay is priority to celebrate that we have a house before we have it again yes I always have it fast"
C:/Users/Bobo/Downloads/task1\ER22_AFL01_MXF.mov,11,happiness,It is quite a bit and you are me with a bit of what am I going to find what we find there what is there is a fruit there are things that we can make a camp with that that all goes through your head if you like youin that way
C:/Users/Bobo/Downloads/task1\ER22_AFL01_MXF.mov,12,happiness,We arrive on the island and actually super idyllic but you are immediately going into the fashion of okay but what should happen because we have to go to sleep right away and you notice that the dusk starts to come a little yes so you have to fireWe have to have the roof and you still have to find out a bit of how everyone is in terms of personality what someone is their qualities to see who should do what
C:/Users/Bobo/Downloads/task1\ER22_AFL01_MXF.mov,13,happiness,"This is the first moment that you are going to live here with your new roommates You will just live on an uninhabited island with six people you don't know and you are going to take care of each other and that is fucking beautiful there must be a box here we have oneWe have a short punishment we have a well we will all walk that way and see what I am a boy born and raised in Amsterdam-West I grew up with Olvarit and Danoontje and now I suddenly have to be self-sufficient creator flint oh niceBoys nice and okay but we really don't have to use yes rice boys each team gets a pot of rice and a pot of flower they have to get through the first 10 days of the expedition, I eat this almost in one day when I'm in the Netherlands so yesI thought it was not so much this is to distribute very well so I am sure I think you are just a few days without 100% you think it is good if we just sort out the fireplace or do you all want a sea there and have no dudeYes, of course but then everyone knows what we are going to do at least there anyway ok Google we need shelter, but no bad shelter is really great but we can still build a shelter with all those trees if soDak is never completely waterproof and the more shelter you have above your shelter last what you want you really don't want to get wet at night I have quite afraid I hate insects but really every thing that moves I really am a kind of scaredFor and ehm yes or or or or walk in or a jungle walking in is also not really something that eh that really attracts me dares to poop in the sea I am there I poo in the sea and I swim very hard I think that is just thatChilling I don't dare I am scared I don't know you have a very turd beach later hey I am going to go well in the sea boys I will try it once but maybe a pit or something shelter fire and then and then it itToilet eating ok Google okay goo"
C:/Users/Bobo/Downloads/task1\ER22_AFL01_MXF.mov,14,happiness,"Expedition We are going to see a little to see if we get a little food to see what is growing a little and then we actually see quite quickly we see a pineapple garden no and we actually see a bunch of banana banana banana thick bingo we just really haveQuite a lot of food so major come back for an expedition and then we shouldn't be able to handle, but I have already seen monkeys just probably so we have to hide it for the monkeys because otherwise we will make the men happy with this"
C:/Users/Bobo/Downloads/task1\ER22_AFL01_MXF.mov,15,grief,"Having to do the work is just those leaves and so on so as many leaves as possible I have to make it a bit free here still remove this because you are afraid that a snake falls down from a thread so I think I already have nowsomething in my pants oh my god awake no that is in your head yes I know my pants down well well eh well a washing line also not unimportant I'm going to hang a washing line you have to worry in such a jungle and everything you like thatquickly as possible your things all have dry again so have in order, say beasts here and they will go into your clothes"
C:/Users/Bobo/Downloads/task1\ER22_AFL01_MXF.mov,16,happiness,Even with the test of course the first time you touch that fire on that is a good feeling then you think of yes I got this you have a fire master exploded something the men of 10 purple have started an ambitious projectI do expect that we just really have a super super cabin but halfway through I see them doing this we will never save guys yes may maybe we should first make half the bed and then see how far we get because it is just a really big person knowingIf you optimistically we will only fill this then we will only fill this piece for now and tomorrow we will do the other half it will be pitch dark at some point and we also have no time to build a roof anymore so yes then hope that theleaves above our work I wanted to build a fila dude you can just scratch my back where in the middle left left left left left left left a little higher
C:/Users/Bobo/Downloads/task1\ER22_AFL01_MXF.mov,17,happiness,Food and a place to sleep is high on the priority list sugar and that is nice no taste than of course we also have it a cucumber courgettes baking baking rice water there No seawater do other times for taste a chef in your campwho can take care of the food who knows what he is doing that has its advantages so I am in good shape in the group so good so is good yes man certainly yes but yes we have to learn a bit a little bit
C:/Users/Bobo/Downloads/task1\ER22_AFL01_MXF.mov,18,surprise,"At Kamp Noord the chef has a little less experience it is really extremely little flower that we have yes oh yes shit then we get again yes I am very afraid that we have to go through one small handful of flour I think cooking is really wonderful toIf I can just do it at my leisure, but now I really feel that pressure what do you just make now cookies are one hand out please I have really made a huge beginners wrong I am really in panic because I think I am falling nowTotally through the basket like cook nobody is going to believe that I can cook little we can never eat here with seven people if you want to add a handful of flower and one more little handful of it but add a little flower in youtubeYes we are going to put one little hand in it yes but otherwise see how little it is yes it is just little yes, but it is also something on the wet side, I just hope that everyone will keep confidence and me as a cook"
C:/Users/Bobo/Downloads/task1\ER22_AFL01_MXF.mov,19,grief,"Everything we find is not it has just rained or it comes from the sea everything is soaked yes then it is quite difficult to get that talking to jumping team also goes out again, yes that is it then this is thisIs really not wet anyway no maybe it is possible to do but that will not work before it gets dark it is a difficult start of a long expedition okay guys I can just a moment ehm the bed is not ready we have no fire yet we only have oneWashing line and it is almost getting dark so I think we have to boost ourselves and just have to get started this evening yes yes ok Google"
C:/Users/Bobo/Downloads/task1\ER22_AFL02_MXF.mov,0,grief,I am not comfortable in my skin I have I am very difficult with that group I do not know how to connect we will look for a fish and yes but the leaves and so on we will do that later yes we do a round yes yesYes I really feel a bit alone I feel totally not seen I feel really a bit standing on myself so I think okay I just have to deliver something here now because otherwise it really won't go well so I think I'm going to make good banana teayou can pull very nice tea from the leaves hey you have slept a bit nice I have not slept honestly I did quite okay here take good we have a kind of mother in our camp so he spoiled us with banana tea banana leaf t t t t t tReally nice news fucking nice but it is so sarcastic or black siri in 10 minutes well say for fifteen minutes 20 minutes I will give it to everyone and I have the idea that I have scored another point is to make a fish tea sorry that is tooso good like good food fishstee I have breakfast banana tea I think now it comes she has she has now cooked we have had the biggest fun that is why but the dear Marion that means good then I am happy again that I chose this hereBecause with these guys I will really get through the expedition
C:/Users/Bobo/Downloads/task1\ER22_AFL02_MXF.mov,1,surprise,"The whatsaps you opened the tube of the biggest price was of course yesterday that I was allowed to put together my team, but as you know, I naturally also dug up a tube a bonus and I doubted for a moment just a milliseconds if I wanted to share with you or notWhat would be in it, but what kind of 10 times is you now if there is already distrust and list and deception oh I know it already I see it although I think she just has a very sweet positive energy and she shares withour hair secret that she just wants well completely fine so you can be decisive in the tube is one extra voice that I can start if you want to send someone if you want to send someone to Osso well exciting guys"
C:/Users/Bobo/Downloads/task1\ER22_AFL02_MXF.mov,2,Scared,Hello oh oh oh no dude no boys guys really okay google team orange choose again a captain this multi -talent is a mix of brutal strength His intelligence should not be anyone who has already been Captain the boat will come to pick this captain later
C:/Users/Bobo/Downloads/task1\ER22_AFL02_MXF.mov,3,anger,"What should captain be a mix of brutal power and intelligence they are going to use men too, you should think if they get the same letter they will also use men against a man I am just not I am not stronger maybe we should rest you are sure smarterBut it is more difficult we have very strong girls and we have very strong men but we also have intelligent girls and intelligent men so they are thinking here who fills these two of set best during the news yes or you look like that like thatAnd I just don't think oh you please do it for us okay because it is a very nice smart guest and he also looks strong well we just have to really have you in top condition now that I am so curious massage also not eating too muchOf course no, but that happens here certainly a good meal, hopefully it may be that it may be just teams one against one yes but listen it may also be that you are leaving our captain loses that there will be another boat and we all to another sidego no because I just got out of it that is also possible I personally think I am everything a bit average, but if I am going to do something then I really have to eat something because I say yes but I also have everything a bit and that's whythereforeI am not the one in the camp with the most experience so I don't see myself as the most intelligent person here I say I say vincent you can eat completely that is anyway anyway yes anyway still nice for green hey Google I go moangoo then go then goI prepare on mangoo for you yes, I have good endurance and I have strength but I have to say honestly in relation to the other men, I think I would have a hard time with that you are a bit prepared how do you feel I feel good IMust say in terms of brutal strength, there are men who are really strong if you have a combination between, for example, a Niels, I think we computer power that he might have a lead but maybe in terms of intelligence depends on what we should do I should doBeing able to grab him The only thing you have to do is focus on that and that perseverance focusing so that is the only thing you have to deal with mentality an intelligence yes mike brute strength I think there were a land very quickly about that"
C:/Users/Bobo/Downloads/task1\ER22_AFL02_MXF.mov,4,happiness,"Want to do it very well and the team is also confident that I am going to give myself 100%, but it is also very nice if you come back to victory I don't know what to expect and suddenly the nightmare comesFrom Ferry there is Olympic champion Gouda and then night number two comes to Niels who is also coming, hey just two big patsers who are just standing next to me and that wall vincent in between but at that moment I know ok this will be very tough becauseVincent and Ferry who are just very trained and I think he is a bit fitter than I team captains slamat thatang welcome at the first captain's battle the heavy responsibility rests on your shoulders Start my first block word hurled back when a crazy hahaha enjoy and enjoy and enjoy and enjoyFinish the swing very nice but fucc it"
C:/Users/Bobo/Downloads/task1\ER22_AFL02_MXF.mov,5,happiness,"Welcome to the first Captain's Battle you win this battle then you don't have to appear on the immunity plan tomorrow and you can enjoy a few days carefree with your team at camp West If you lose this battle then you have to report to the immunity plan no Blocks tomorrowlie with 9 digits on it that you bring 1 by one to your own table there is only a small challenge you are stuck on a bungee cord, making it always a bit more difficult to grab the next block you have already obtained a nine then thenCan you start puzzling and put them down in such a way that the sum horizontally vertical and diagonal is always 15 the first to do that and so it succeeds this battle is clear that you are ready I think I am good but I am in principleNot very strong in my legs because Sven is mainly a sport for your arms so yes I really have to do my best to win it yes but just full before there are always surprise in life so maybe I am not tropical surprise"
C:/Users/Bobo/Downloads/task1\ER22_AFL02_MXF.mov,6,anger,"A 3 2 1 Start Take run -up sprint and grab my first block word thrown back as a madman and roll completely just over the floor three blocks stand on the table I have to grab 9 blocks so I know I have to distribute my energy well if IAmong the first two are completely broken then it will be very hard to grab the 9th I really go until the hole just hold grave breathing and going back again second block of vincent fm already have two on the table which news hasNow two cubes on the table that run backwards while someone pulls you that is not going very well to me, yes I occasionally I was scolding myself but I was laughing a bit too ferry goes for number five and alsoVincent puts number 4 on the tableAnd then I notice that Ferry really continues just keeps going he will continue and I see that he looks my eyes of yes yes that is not so crazy Olympic champion gold yes he does that just now block number 6 is in the hands of ferry and I layhim in the place where I immediately want him in my puzzle so that if I am immediately at the puzzle I can immediately do daddy daddy and no more than you still have to think about the puzzle nr 5 that goes for number 7 onA given moment when I shoot back I start making all head rolls backwards my wrist I feel flourishing in one go but I apparently ended up wrong until it is naive I just go through bam bam bam bam bam bam again I can still be light againWinning so yes I keep bite sand and yes fuck it is then but I need to take a little more rest every time and a moment for myself to breathe and then again and every time I just pick up a block sometimes I have to go on for a momentMy knees but I just grab a block every time I put it back in the right place"
C:/Users/Bobo/Downloads/task1\ER22_AFL02_MXF.mov,7,happiness,Ferry was a super fast but he is also good he is good we have a winner team orange congratulations I have not seen a drop drop at that guy yes then you also earn it to win and then I just have to recognize yes with several earlier I IFirst to say that you have given everything for you 10 but there will only be the winner who has the brutal power and intelligence we have been able to see apparently captain of the Oranje Team Ferry congratulations boy YES and that means your teamTomorrow not to appear on immunity that is luxury yes and there is something nicer to be moving with your team to camp West seems to be beautiful so I am very curious and as a reward for the victory I also have a choice for youTwo prizes Two prizes The first is a light meal you can take with you for your team The second is a choice of these three tubes and that is for you personally you can choose one and one tube is an extra voice in one tube is a lootAnd there is nothing in one tube thinking good after I don't have to think long I hear for the meal I go for that food then I will experience friends then the atmosphere in the group stays good and I will stay fit you can eh best receiveAnd I wish you a good journey to camp West is going the good news but tell Vincent that means that you with team green to camp Zuid are not a nice announcement I think it is a shame that I have to make my team disappointing very much in you makes everyone be everyoneBest to say you to give as much as possible and then you have to say but yes it feels like I'm taking something from the team and good luck both for tomorrow with immunity we all broke down during the test only they have toDo a test next day and we can
C:/Users/Bobo/Downloads/task1\ER22_AFL02_MXF.mov,8,happiness,
C:/Users/Bobo/Downloads/task1\ER22_AFL02_MXF.mov,9,grief,On the boat I am quietly when we have another test tomorrow or the day after tomorrow I can't do any strength things say but with this hand and ferry who walked through it Olympic champion like this and Vinnie and I went reasonably right on only I madeOnly my head rolls and once you have that thing then you shoot back you have really stress or not yes can stay here we have cassava we have a pineapple we still have a cassava plant by the way yes yes yes yes yes yes yes and you you and youshoulders stay low with your belly I notice that sleeping on his shelf what you are pretty stiff and I have an exercise that I should actually do every day and that is a kata a kata is a series of movement in the Marcel doctor andThis is from the Chinese tradition hahaha hahaha now you have it all you do is you let yourself fall well harry who has a kind of stretch stretch chinese stretch and stretching exercises that does very often and he thought it was a good time to do that nowAlso to do I am not doing anything I will keep inhaling down it is a fairly simple exercise if you have done it three times then you can
C:/Users/Bobo/Downloads/task1\ER22_AFL02_MXF.mov,10,happiness,"I have seen a very beautiful tree that hangs so beautiful above our beach, just a swing fits perfectly with such a beautiful glimpse over the entire sea and all those mountains can only be attached to that tree stump and then I see oneBoot arriving what the fuck is that vincent look and then the emotions really start to kick in because they call them very happy and and you have won the enthusiasm because they just have high expectations of me and then I just know when I get offThat I have to disappoint my you have not disappointed us anyway no matter what the outcome is you know no problem really does not matter I think it is such a shame that I have to disappoint you because we have to give that way I just say it all you say itBut yes you just know the side to send a bit of food there I know that I know but it just hurts because I know boom how good we have nothing out of here you are really so you are so nice here my rooms than we have toWe now have to leave the route from the island so that swing that EH has been lost well I think that Mafkees also know how to finish school I can also before them if they don't know then we will really get into a terror campAnd I thought how can we make sure that the swing will come and I think we just have to leave a message for team orange enjoy and finish the swing we pretend to be very nice"
C:/Users/Bobo/Downloads/task1\ER22_AFL02_MXF.mov,11,happiness,I'm not going to have a game of cards west yes immunity is really top choosing between a tube three tubes where or immunity or loot or nothing and I can eat or I can eat yes at least the first four days we are safe
C:/Users/Bobo/Downloads/task1\ER22_AFL02_MXF.mov,12,surprise,I am lying with my head against the Global and suddenly I hear vague zippers and I just feel so pepper I am also very curious because I also have the feeling of yes it is not a winner island but it is luxurious and I have it toofeeling of yes now Roberson might really start with some more setbacks hey Google I really think we get a lot of stress on our heads if we now want to lie off the ground we still have to cook we also have to relax a bitTomorrow trial probably I'm going to cook because I think the sun will soon be okay I'm going to sleep so well oh my god that also seems very nice to me that planks just left in the kitchen the table what stands here finish the swing swing off
C:/Users/Bobo/Downloads/task1\ER22_AFL02_MXF.mov,13,happiness,"Yo Dinner is ready hey Google probably with half an hour it gets dark so we have to do that bed it is very clear that London has the kitchen and says London is going to make food but for the rest it is just oh I see a shelf hereand I put that on oh but here is also oh here is food so everyone is just a bit just nowhere to run around your food man and for you young lady also some energy clap inside what can I grab by theonions that are caramelized because in udders a little sugar if you heat that well, calm pap smear free and then you just go extra taste you have done yourself they give me the idea that I am important in the camp you know a chef in your campwho can take care of it"
C:/Users/Bobo/Downloads/task1\ER22_AFL02_MXF.mov,14,disgust,You don't have a countertop so there is also sand everywhere and that is almost no yes here the Casa of Marion was pretty fats and sandering panic if your expedition is very little eating but you just can't imagine it really is that wayAnyway kind of crispy earth potato yes yes nobody really listens to each other yes there are a few people who listen after a few people and the rest just hangs a bit and now it is just no unit at all it is just very heavy it is anywayHeavy to be a bit the outsider I am topping up bananas all day in making I am water bottle.I always feel invisible
C:/Users/Bobo/Downloads/task1\ER22_AFL02_MXF.mov,15,happiness,Then we have been playing well and the swing is also hanging so that ensures that you get a little more holiday feeling instead of EH Survival mode Oké Google the Lion Sleeps Tonight
C:/Users/Bobo/Downloads/task1\ER22_AFL02_MXF.mov,16,Scared,"I think I really slept the last 4 hours and before that the whole time was awake, yes I was cold not normal I really woke up really a hellish night I have pain in my back I notice that I am getting a little more emotional too tooI think okay where this comes from I am pretty primarily with some things eating and sleeping are pretty important I notice that I ehm yes that I am just more emotional I walk to the sea and I send a bit over the water a bitAnd then all things come from home actually come in as if you have some sort of a box in your head that you just closed but the moment you have slept badly he is just a bit about yes and then you will continue yes nothingBecause I am a bit hidden I don't feel like losing a tests on an island in the evening and that they will then say oh yes those kirsten so emotional it is better that you go home is just nonsense becauseI am here to play a game and I will do that too, but I just want to cry if I like I want to cry I just don't have a good day so I am in my bed in the evening and I just feel so small of itInside and I feel so I think oh I really break here I feel so not seen I mean my job is inventing and working out murder plots and here I am sitting when a bang bird wake up in action, your brainUsing strategic thinking just think okay who is the weakest link in the group that is rose I mean rose hardly dares to take a step in the jungle is terrified for any animal and really sorry rose if you see this because I find ityou really very sweet but good I just had to come up with something then you might be the one who might also want to go away on his own and so Marion throws a self -made story in the group to sow fear what was that yesterday withThat rat well I just sleep or I'm almost sleeping you know you have to go a bit like that and suddenly I lie with my head against the mosquito net and suddenly I hear vague rustle and I just don't feel so porridge really notSo pious watching of my head I see such a rats running away it but not to rose because otherwise he will never go to sleep again I got up so also because I myself head Piet so yes I think I don't think there is people on thebe the world who can restrain themselves if there were a rat past the boys very busy with oh is rose okay because he is now afraid of rats and I thought so nice and everyone really kicked it completely and"
C:/Users/Bobo/Downloads/task1\ER22_AFL02_MXF.mov,17,grief,I really slept very badly I think maybe an hour caught somewhere and that was a lot more I slept very well last night and that everyone heard that slept well I am really what that I laughs beside my father lag lauraTonight pretty snoring so man seems like a sailor that lies next to me yes I was very happy that you can sleep we have a little less successful very bad communication
C:/Users/Bobo/Downloads/task1\ER22_AFL02_MXF.mov,18,grief,"Here the very first immunity and all eyes are focused on Team Captain's Niels and Vincent Vincent also had a painful move after his defeat, he will now give everything to win this immunity test I think ChampionsLeague Final Champions League Final Champions League Final Everything or not all or not living or dying or dead just that as soon as I am on the boat I am completely ready okay we will notice it so I just have no power in my in my in myRight hand but I am suppressing that a bit for my teammate so I think oh I will have to tactically determine what role I will fill during the test there will come as a team and see just a bucket of a trail and a suit isThe first thing to think is bucket from one side to the other side and then filling that container welcome 10 purple we walk together to that team and we all see a kind of obstacle course or something and we all thought NiceThis is good this is good for all of us this we can taste critical members welcome to your very first immunity and I can imagine that it feels a bit nasty, hey who is sitting there in the west camp while you hardMust for immunity kirsten how are you yes yes I am okay for the first night and then you are suddenly somewhere where you don't sleep in the rain that is tough and what do you find tough then you just notice that it also starts mentally yesAnd what do you notice mentally, then I really don't like anything I am just primarily sleep I think really is important yes so that first night I thought oh chill expedition started but no expedition has now started yes so it will just be fighting and we will certainly not lose losingThe test there you see a container and it must be filled with as much water as possible at the start of the course you get two buckets and a stick so that you can wear the buckets on your shoulders you fill the buckets with as much water as possible but there areholes in the buckets If there is enough water in your bucket, you go as quickly as you can over this obstacle course once you arrive at the container you empty your bucket in the container but it is not everything because on the other side of the container are standingTwo expedition members of the other teamThey keep the container up through two ropes and you guessed it all that container becomes heavier and heavier the team that knows how to keep the bin in the air for the longest wins and so I want to give you the time now because whoGoes to work okay Google Who is going to take on the important task 10 purple who is going to do you niels is also very strong but he has completely hurt his wrist and so on from that previous test so we think well than the other two menBecause yes not women and friends mean, but yes they are just stronger than we are who is going to do your bin team Groen Harry and London then you can complain green looks very sturdy and strong it is a team that really doesStrong players has Arjen London from Team Groen Holding the bowl that is filled by the purple team The container that the men of Team Purple Lifts are being filled by the green team Filled Team Green are you ready 10 purple you are ready yes in three two one meHave two full buckets of water in my hand I have to balance them on both sticks and then it is just leting strength on your shoulders and your legs moving lifting legs and youIt is actually quite lying I think max 10 kg or something and I just think full gas but what I found out later is that that bamboo sock was not in their container at all so my first attempt is just for sauce because everythingJust see next to that couch sorry but there will be no water in a bamboo stick you can slide because he was stupid tube of coconut that had to be that container was not connected to the couch sliding that couch forward it also falls out of course our team members also motivate a oneA bit of adjustment because our bamboo and was also a bit adjusted, as it were, we say to Vincent hey just that bamboo restore hoppa bam immediately and water again in it so that really works very well but those emma's are as tasty as onebasket there is now a traffic jam with the purple team so it is waiting and I notice that the water left and right only goes out of that bucket and it is a bastard for that a kilo is only with those files boys otherwise you will only lose youWater at some point says yes we really have to estimate it a bit better no one who has too"
C:/Users/Bobo/Downloads/task1\ER22_AFL02_MXF.mov,19,happiness,"Let a bucket fall the communication should have been better we could have taken a lead yes juultje quiet very good good breath in breath, that's the key I said with one hand in my nose so yes but now one hand harry oneDog or do you let two hands rest again when the green bowl touches the ground has won a purple team and vice versa I think camp green cooperates better than we are just seven individuals who do that assignment are ready beautiful birds next comeNobody would rather not be a traffic jam than there is no one that is getting heavier and heavier I see at some point that that container starts to drop so those boys are just having a hard time than I only look at those bins for the first timeAnd I just see that he is twice as full of purple as that of green, keep the head cool bam for sureAt that moment Ilias shoots something forward that no longer pulls I start pulling my body back and huppakee purple is sinking and sagging but do just do it yes fine well and even more 3 liters me gadot"
C:/Users/Bobo/Downloads/task1\ER22_AFL02_MXF.mov,20,happiness,Fighted hard and a very hot climate well done but there is only one team the winner and that is Team Groen Kirsten you have won how feels now can go very well and then the bad news because you go to the very first island council itIs sour that the team I put together as the first to the Island Council has yes team green you have won this beautiful totem but who comes to get it first yes that I do something that everyone is kirsten I think oh no mustI now cry again that killed him and that is crazy you can go back to your islands first island and I think that is really really really really really sour
